jobId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
71,621,11812,0,1268344,10969,243,2042.4,753002,5682,10390,1251845,142655179,334442017,36120,0,0,0,335904768,21,23029,1314,1278,25398443,208482,4434879322,0,4460277765,10805105277,334464725,6089
136,443,11658,0,499482,5507,279,1127.5,440650,3202,5822,490323,0,0,6747,0,0,0,805371904,4,18959,186,3841,18988758,638465,3298840944,0,3317829702,2932729898,247163783,3756
69,530,11573,0,925850,10904,580,1746.9,709698,4922,10622,909541,49127553,113554691,15323,0,0,0,494993408,35,23030,405,1145,30432519,199495,5264711186,0,5295143705,5239595630,233125075,6838
141,480,11503,0,1049176,6937,958,2185.8,849513,4612,16646,1026947,0,0,16495,0,0,0,973144064,0,22557,6015,1177,61909777,207623,11267464119,0,11329373896,13073170113,247163783,13331
127,800,11220,0,658975,1415,356,823.7,533393,4854,8518,643527,0,0,11158,0,0,0,251723776,16,15320,424,5021,17808389,887908,3149653850,0,3167462239,1487329697,247163783,7040
126,800,11157,0,746235,1560,451,932.8,619929,4848,7683,731693,0,0,9719,0,0,0,251723776,11,15320,285,4990,17853179,887939,3164652001,0,3182505180,3155879864,247163783,8721
128,800,10971,0,800479,1752,411,1000.6,661348,4930,8734,784276,0,0,10002,0,0,0,251723776,4,15319,337,5006,21638629,887923,3822888577,0,3844527206,3317474430,247163783,8620
84,492,10462,0,1686613,9813,181,3428.1,1176494,8721,17010,1664222,191935287,447876713,38550,0,0,0,1879375872,0,102059,28660,266,1264671918,31304,14628429165,0,15893101083,29383067972,695040496,16522
146,480,10413,0,633783,3451,498,1320.4,536142,4132,8129,621427,0,0,5036,0,0,0,654376960,2,22987,452,1220,23762894,233020,4538114051,0,4561876945,2001047543,105605679,4164
142,480,10409,0,1038335,7074,1010,2163.2,906660,4551,11809,1021993,0,0,14066,0,0,0,1040252928,5,22557,2481,1105,65048941,204335,12835640064,0,12900689005,14898801352,247163783,15094
63,530,10277,0,1009190,6629,740,1904.1,718166,18803,37312,966097,49110769,113554717,14490,0,0,0,494993408,39,23028,60,1093,33223744,197627,6101763307,0,6134987051,5685284221,189972552,7050
68,530,9913,0,1053266,10904,615,1987.3,773284,4973,10445,1036761,49127553,113554691,14869,0,0,0,494993408,26,23029,231,1132,32039251,199508,5263104454,0,5295143705,6534893226,233125075,7753
129,800,9826,0,779576,1660,506,974.5,644287,4899,8604,763673,0,0,10334,0,0,0,251723776,52,15320,303,5000,22135215,887929,3925907043,0,3948042258,2989280520,247163783,8551
147,480,9748,0,552490,2733,534,1151.0,492922,4009,7270,542023,0,0,3226,0,0,0,427884544,0,22987,117,1230,17317009,211890,2915450883,0,2932767892,1346870875,119570384,2641
145,480,9685,0,693918,3466,692,1445.7,570104,4167,8245,681318,0,0,8587,0,0,0,494993408,12,23027,449,1206,23618178,233034,4538251625,0,4561869803,1698871297,92857964,4507
135,442,9559,0,448721,4529,362,1015.2,387357,3146,5253,439737,0,0,5499,0,0,0,671154176,0,18917,181,3710,8426072,638596,1479412109,0,1487838181,442399721,247163783,2129
137,465,9351,0,485130,4714,291,1043.3,429251,3132,5887,476165,0,0,7388,0,0,0,738263040,2,18959,453,3632,17058480,638674,2972577312,0,2989635792,2860194002,247163783,3714
